ticker,company,snapshot_date
AAPL,Apple Inc.,2024-01-02
AMGN,Amgen Inc.,2024-01-02
AXP,American Express Company,2024-01-02
BA,The Boeing Company,2024-01-02
CAT,Caterpillar Inc.,2024-01-02
CRM,Salesforce Inc.,2024-01-02
CSCO,Cisco Systems Inc.,2024-01-02
CVX,Chevron Corporation,2024-01-02
DIS,The Walt Disney Company,2024-01-02
DOW,Dow Inc.,2024-01-02
GS,The Goldman Sachs Group Inc.,2024-01-02
HD,The Home Depot Inc.,2024-01-02
HON,Honeywell International Inc.,2024-01-02
IBM,International Business Machines Corporation,2024-01-02
INTC,Intel Corporation,2024-01-02
JNJ,Johnson & Johnson,2024-01-02
JPM,JPMorgan Chase & Co.,2024-01-02
KO,The Coca-Cola Company,2024-01-02
MCD,McDonald's Corporation,2024-01-02
MMM,3M Company,2024-01-02
MRK,Merck & Co. Inc.,2024-01-02
MSFT,Microsoft Corporation,2024-01-02
NKE,NIKE Inc.,2024-01-02
PG,The Procter & Gamble Company,2024-01-02
TRV,The Travelers Companies Inc.,2024-01-02
UNH,UnitedHealth Group Incorporated,2024-01-02
V,Visa Inc.,2024-01-02
VZ,Verizon Communications Inc.,2024-01-02
WBA,Walgreens Boots Alliance Inc.,2024-01-02
WMT,Walmart Inc.,2024-01-02

