model,cumret,sharpe,sortino,omega,source
TMP,0.987,0.305,0.320,0.875,manuscript
MIGT,1.882,1.291,2.063,1.280,manuscript
MTS,2.274,0.915,1.332,1.188,manuscript
MARS,2.130,2.840,2.410,1.620,manuscript
SHCAPA,0.290,1.330,1.020,1.180,manuscript
CATT-RL,2.307,1.649,2.694,1.514,manuscript

